filename/tiff,derivative filename/jpeg,identifier/filename,title,description,isFormatOf/OrigItemNo.,date,subject/topic,subject/location,spatial/location/latitude/longitude (degrees),extent/size,tablecontents/boxes/folders,medium/format/type,source/RG#/MS#,isPartOf/Collection,creator/photographer,contributor/collector,rights,publisher/repository,language,rosetta collection
570903-00001.tiff,570903-00001.jpg,570903-00001,Europe tour,Slide of the band in parade formation,,1974,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG 57-09-03,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
570903-00002.tiff,570903-00002.jpg,570903-00002,Europe tour,"Slide of the band marching in parade formation, led by twirler Diane Tangeman",,1974,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG 57-09-03,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
570903-00003.tiff,570903-00003.jpg,570903-00003,Europe tour,"Slide of the band in Europe, sousaphones featured",,1974,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG 57-09-03,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
570903-00004.tiff,570903-00004.jpg,570903-00004,Europe tour,Slide of the band performing in Europe,,1974,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG 57-09-03,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
570903-00005.tiff,570903-00005.jpg,570903-00005,Europe tour,Slide of the band performing in Europe,,1974,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG 57-09-03,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
570903-00006.tiff,570903-00006.jpg,570903-00006,,,,,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG 57-09-03,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
570903-00007.tiff,570903-00007.jpg,570903-00007,Making new friends in Europe,Slide of a band member posing with Europeans wearing traditional clothing,,1974,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG 57-09-03,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
570903-00008.tiff,570903-00008.jpg,570903-00008,Rehearsing on the Europe tour,Slide of band members rehearsing in Europe,,1974,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG 57-09-03,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
570903-00009.tiff,570903-00009.jpg,570903-00009,Director Snider rehearsing in Europe,Slide of Director Jack Snider speaking through a megaphone during a band rehearsal in Europe,,1974,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG 57-09-03,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
570903-00010.tiff,570903-00010.jpg,570903-00010,Trumpet player,Slide of a trumpet player performing in Europe,,1974,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG 57-09-03,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
